Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
F1P/F6P/G1P/G6P	HMDBCOMB001	F1P/F6P/G1P/G6P	HMDB0001076;HMDB0000124;HMDB0001586;HMDB0001401	ADPGK;ALDOA;ALDOB;ALDOC;ENPP1;ENPP3;FBP1;FBP2;G6PC;G6PC2;G6PC3;G6PD;GALT;GBA;GCK;GCKR;GDPGP1;GFPT1;GFPT2;GNPDA1;GNPDA2;GPI;H6PD;HK1;HK2;HK3;HKDC1;ISYNA1;KHK;MPI;NUDT14;PFKFB1;PFKFB2;PFKFB3;PFKFB4;PFKL;PFKM;PFKP;PGM1;PGM2;PGM2L1;PGM3;PYGB;PYGL;PYGM;SLC37A4;TALDO1;TIGAR;TKT;UGP2
hexoses (HILIC neg)	HMDBCOMB002	hexoses (HILIC neg)	HMDB0000122;HMDB0000143;HMDB0000169;HMDB0000660	ACPP;ADPGK;AGL;AKR1B1;ALG3;AMY2B;APOH;AZGP1;B4GALT1;B4GALT2;BCHE;C1R;CD209;CES1;COLEC12;CPD;CSF2RB;CTSD;DNASE1;DPP4;G6PC;G6PC2;G6PC3;GAA;GALC;GALK1;GALK2;GALNS;GALNT1;GANAB;GANC;GBA;GBA2;GBA3;GCK;GCKR;GLA;GLB1;GNPTAB;GPI;GUSB;GYPB;GZMB;HK1;HK2;HK3;HKDC1;IFNB1;IGF1R;IGF2R;KHK;LALBA;LCT;LDLR;LGALS1;LTF;LYZ;MAN1A1;MAN1A2;MAN1B1;MAN1C1;MAN2A1;MAN2A2;MAN2B1;MAN2B2;MBL2;MGAM;MOGS;MTMR1;MTMR2;MTMR6;MTMR7;NOS1;NPR3;PGM1;PHPT1;PLA2G1B;PTGS1;RHO;SERPINC1;SERPIND1;SI;SIGLEC7;SLC2A1;SORD;TREH
fumarate/maleate/alpha-ketoisovalerate	HMDBCOMB003	fumarate/maleate/alpha-ketoisovalerate	HMDB0000019;HMDB0000134;HMDB0000176	ADSL;ASL;BCAT1;BCAT2;BCKDHA;BCKDHB;DBH;DLAT;FAH;FAHD1;FH;ME2;PDHA1;PDHA2;PDHB;SDHA;SDHB;SDHC;SDHD;SLC16A1;SLC16A3;SLC16A7
glucuronate	HMDB0000127	D-Glucuronic acid		ABHD10;DSE;GUSB;KL;MIOX;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7
glutathione oxidized	HMDB0003337	Oxidized glutathione		ANPEP;GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GPX7;GPX8;GSR;GSTO1;GSTO2;PRDX6;TXNDC12
glutathione reduced	HMDB0000125	Glutathione		ABCC1;ABCC2;ABCC3;ABCC4;ABCC5;ESD;GGT1;GGT2;GGT3P;GGT5;GGT6;GGT7;GLO1;GLRX;GLRX2;GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GPX7;GPX8;GSR;GSS;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTK1;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTP1;GSTT1;GSTT2;GSTT2B;GSTT4;GSTZ1;HAGH;HAGHL;HPGDS;LOC51064;LTC4S;MGST1;MGST2;MGST3;PRDX6;PTGES;RALBP1;TXNDC12
GMP	HMDB0001397	Guanosine monophosphate		ABI1;ALS2CL;APRT;ARHGEF1;ARHGEF10L;ARHGEF11;ARHGEF12;ARHGEF17;ARHGEF18;ARHGEF3;ARHGEF37;ARHGEF4;ARHGEF6;ARHGEF7;ARHGEF9;ATIC;C9orf100;CANT1;CCPG1;CDC42;CNGA3;CTNNAL1;DEF6;DLG4;DOCK1;DOCK10;DOCK2;DOCK3;DOCK4;DOCK5;DOCK6;DOCK7;DOCK8;ECT2L;EIF5;ELMO1;ELMO2;ELMO3;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;FARP2;GAPVD1;GEFT;GEM;GMPR;GMPR2;GMPS;GNA11;GNA12;GNA13;GNA14;GNA15;GNAI1;GNAI2;GNAI3;GNAL;GNAO1;GNAQ;GNAS;GNAT1;GNAT2;GNAZ;GNB1;GNB2;GNB3;GNB4;GNB5;GNG10;GNG11;GNG12;GNG13;GNG2;GNG3;GNG4;GNG5;GNG7;GNG8;GNGT1;GNGT2;GNL1;GPSM1;GRAP;GRB2;GUCY2C;GUK1;HERC1;HINT1;HPRT1;HRAS;IQSEC1;IQSEC3;ITPA;KNDC1;LPAR2;MCF2;MCF2L;MCF2L2;NET1;NGEF;NPR1;NPR2;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;NUDT2;PDE10A;PDE11A;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE4A;PDE4B;PDE4C;PDE4D;PDE5A;PDE6A;PDE6B;PDE6C;PDE6D;PDE6G;PDE6H;PDE7A;PDE7B;PDE8A;PDE8B;PDE9A;PLEKHG6;PREB;PREX1;PREX2;PSD;PSD3;PSD4;RAB3IL1;RAB5A;RAB5B;RAC1;RAC2;RALGPS1;RALGPS2;RANBP3;RAPGEF2;RAPGEF3;RAPGEF4;RAPGEF5;RAPGEF6;RAPGEFL1;RASGEF1A;RASGEF1B;RASGEF1C;RASGRP3;RCC2;RGL1;RGL2;RGL3;RGNEF;RHOQ;RHOU;RIC8A;RIC8B;RIN1;RIN2;RIN3;RIT1;RIT2;RP2;RRAGA;RRAGB;RRAGC;RRAGD;SAR1B;SERGEF;SOLO;SORBS3;SWAP70;TGM3;TIAM2;VAV2
guanosine	HMDB0000133	Guanosine		NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;PNP
hippurate	HMDB0000714	Hippuric acid		GLYAT;GLYATL1;GLYATL2;GLYATL3
hypoxanthine	HMDB0000157	Hypoxanthine		HPRT1;PNP;SLC29A2;XDH
